company_id,type,rule_id,text,confidence_pct
AMBUJACEM,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,78.88
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.11
APOLLOHOSP,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,93.47
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,86.13
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.95
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
APOLLOHOSP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,91.68
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ASIANPAINT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.25
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75.97
ASIANPAINT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
ASIANPAINT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.28
ATGL,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
ATGL,pro,PRO_FALLBACK,Company demonstrates at least one available positive financial signal based on the latest available financial data,61.0
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.94
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96.93
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.1
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.67
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79.69
BAJAJ-AUTO,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.61
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
BAJAJ-AUTO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.23
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,82.0
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
BAJAJFINSV,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,78.97
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,87.85
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.04
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.97
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75.59
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.78
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.75
BAJAJHLDNG,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.61
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73.97
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,82.0
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.56
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.35
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.32
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76.97
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.29
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83.67
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.49
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.48
BEL,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.38
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,78.1
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,97.2
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,97.19
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88.36
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,87.73
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,86.72
BHEL,pro,PRO_FALLBACK,Company demonstrates at least one available positive financial signal based on the latest available financial data,61.0
BOSCHLTD,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
BOSCHLTD,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90.0
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
BOSCHLTD,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.56
BPCL,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.31
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83.06
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75.79
BRITANNIA,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76.37
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83.37
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.75
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
CANBK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.18
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,82.0
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.28
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.94
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.42
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.36
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.1
CIPLA,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,85.22
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.83
CIPLA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.73
COALINDIA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.03
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
COALINDIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.85
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
DIVISLAB,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
DIVISLAB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90.0
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.17
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,88.14
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,84.26
DLF,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92.84
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.05
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
DLF,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
DMART,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.74
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.48
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.49
DMART,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.97
DRREDDY,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,82.75
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.84
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.39
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.32
EICHERMOT,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.64
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.18
GAIL,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,92.0
GODREJCP,pro,PRO_FALLBACK,Company demonstrates at least one available positive financial signal based on the latest available financial data,61.0
GRASIM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.7
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,90.16
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82.73
GRASIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,79.31
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,89.78
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81.64
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,77.09
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.49
HAL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
HAVELLS,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
HCLTECH,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.01
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,83.5
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.33
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.95
HDFCBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.92
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.87
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.42
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83.39
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.17
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80.85
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
HINDALCO,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.48
HINDUNILVR,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.65
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,85.0
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.4
ICICIBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
ICICIBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.25
ICICIGI,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIGI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90.0
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ICICIGI,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
ICICIPRULI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.25
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.85
INDIGO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
INDIGO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
INDIGO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75.0
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.31
INDUSINDBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.07
INDUSINDBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.55
INDUSINDBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.58
INDUSINDBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
